Country,Total fertility rate (children per women),Under five mortality rate for both sexes (proportion to live births),Life expectancy at birth (years),Population annual rate of increase (proportion)
Malawi,3.6,0.382,67.6,0.026000000000000002
Malaysia,1.5,0.062,76.8,0.012
Maldives,1.6,0.054000000000000006,81.3,0.004
Mali,5.5,0.922,60.7,0.028999999999999998
Malta,1.1,0.055,83.5,0.012
Marshall Islands,2.9,0.272,67.1,-0.034
Martinique,2.0,0.076,82.7,-0.008
Mauritania,4.6,0.366,68.7,0.027999999999999997
Mauritius,1.2,0.134,75.1,-0.002
Mayotte,4.6,0.109,76.2,0.032
Mexico,1.9,0.125,75.3,0.008
Micronesia (Fed. States of),2.7,0.223,67.4,0.005
Moldova,1.7,0.11800000000000001,71.3,-0.012
Monaco,2.1,0.045,86.5,-0.008
Mongolia,2.6,0.113,72.0,0.012
Montenegro,1.8,0.034,77.3,-0.003
Montserrat,1.4,0.062,76.3,-0.006999999999999999
Morocco,2.2,0.163,75.5,0.009000000000000001
Mozambique,4.7,0.63,63.8,0.028999999999999998
Myanmar,2.1,0.414,67.1,0.006999999999999999
Namibia,3.2,0.363,67.5,0.021
Nauru,3.3,0.253,62.3,0.006999999999999999
Nepal,2.0,0.248,70.6,-0.002
Netherlands,1.4,0.036000000000000004,82.3,0.006999999999999999
New Caledonia,2.0,0.106,78.9,0.009000000000000001
New Zealand,1.7,0.047,82.2,0.008
Nicaragua,2.2,0.132,75.1,0.013000000000000001
Niger,5.9,1.137,61.4,0.033
Nigeria,4.4,1.028,54.6,0.021
Niue,2.5,0.235,70.1,0.004
North Korea,1.8,0.16699999999999998,73.7,0.003
North Macedonia,1.5,0.069,77.5,-0.005
Northern Mariana Islands,2.3,0.061,78.9,-0.018000000000000002
Norway,1.4,0.021,83.5,0.01
Oman,2.5,0.10099999999999999,80.2,0.044000000000000004
Other non-specified areas,0.9,0.044000000000000004,80.7,-0.004
Pakistan,3.5,0.581,67.8,0.015
Palau,1.9,0.214,69.4,-0.001
Panama,2.1,0.132,79.8,0.012
Papua New Guinea,3.1,0.392,66.3,0.018000000000000002
Paraguay,2.4,0.193,74.0,0.012
Peru,2.0,0.128,77.9,0.011000000000000001
Philippines,1.9,0.265,69.9,0.008
Poland,1.3,0.038,78.8,-0.009000000000000001
Portugal,1.5,0.03,82.6,-0.001
Puerto Rico,0.9,0.065,81.9,-0.001
Qatar,1.7,0.068,82.5,0.024
Romania,1.7,0.063,76.1,-0.006
Russia,1.5,0.053,73.3,-0.005
Rwanda,3.6,0.354,68.0,0.021
Réunion,2.2,0.053,83.7,0.004
S. Sudan,3.8,0.982,57.7,0.021
SIDS,2.2,0.34700000000000003,72.9,0.008
Saint Barthélemy,0.8,0.06,84.4,0.013999999999999999
Saint Helena,1.6,0.13699999999999998,77.0,-0.008
Saint Kitts and Nevis,1.5,0.145,72.3,0.002
Saint Lucia,1.4,0.166,72.8,0.002
Saint Martin (French part),2.7,0.09300000000000001,80.4,-0.049
Saint Pierre and Miquelon,1.3,0.095,76.9,-0.009000000000000001
Saint Vincent & Grenadines,1.8,0.142,71.4,-0.006999999999999999
Samoa,3.8,0.152,71.8,0.006
San Marino,1.2,0.013999999999999999,85.8,-0.002
Sao Tome and Principe,3.6,0.132,69.9,0.02
Saudi Arabia,2.3,0.07400000000000001,79.0,0.018000000000000002
Senegal,3.8,0.342,68.9,0.023
Serbia,1.5,0.047,76.9,-0.006999999999999999
Seychelles,2.1,0.124,73.0,0.019
Sierra Leone,3.7,0.9570000000000001,62.0,0.021
Singapore,1.0,0.022000000000000002,83.9,0.006999999999999999
Sint Maarten (Dutch part),1.4,0.145,76.5,0.013999999999999999
Slovakia,1.6,0.048,78.5,-0.005
Slovenia,1.6,0.018000000000000002,81.8,-0.001
Solomon Islands,3.5,0.171,70.7,0.024
Somalia,6.0,1.021,59.0,0.034
South Africa,2.2,0.312,66.3,0.012
South Korea,0.7,0.026000000000000002,84.4,-0.001
Spain,1.2,0.028999999999999998,83.8,0.0
Sri Lanka,2.0,0.062,77.7,0.006
State of Palestine,3.2,0.275,69.2,0.016
Sudan,4.3,0.53,66.5,0.016
Suriname,2.2,0.124,73.8,0.008
Sweden,1.4,0.024,83.4,0.005
Switzerland,1.4,0.036000000000000004,84.1,0.005
Syria,2.7,0.214,72.6,0.04
Tajikistan,3.0,0.259,71.9,0.019
Tanzania,4.5,0.38,67.2,0.028999999999999998
Thailand,1.2,0.1,76.6,-0.001
Timor-Leste,2.6,0.451,67.9,0.013000000000000001
Togo,4.1,0.573,62.9,0.022000000000000002
Tokelau,2.6,0.052000000000000005,77.2,0.043
Tonga,3.1,0.10300000000000001,73.1,-0.004
Trinidad and Tobago,1.5,0.158,73.6,0.003
Tunisia,1.8,0.115,76.7,0.006
Turkey,1.6,0.113,77.4,0.002
Turkmenistan,2.7,0.358,70.2,0.017
Turks and Caicos Islands,1.5,0.055999999999999994,78.2,0.006999999999999999
Tuvalu,3.2,0.193,67.3,-0.017
Uganda,4.2,0.377,68.5,0.027000000000000003
Ukraine,1.0,0.061,74.7,0.022000000000000002
United Arab Emirates,1.2,0.062,83.1,0.034
United Kingdom,1.6,0.042,81.4,0.006
United States Virgin Islands,2.1,0.055,75.7,-0.009000000000000001
United States of America,1.6,0.059000000000000004,79.5,0.005
Uruguay,1.4,0.07,78.3,-0.001
Uzbekistan,3.5,0.14800000000000002,72.5,0.019
Vanuatu,3.6,0.17,71.7,0.023
Venezuela,2.1,0.179,72.7,0.004
Vietnam,1.9,0.19699999999999998,74.7,0.006
W. Sahara,2.2,0.27,71.6,0.018000000000000002
Wallis and Futuna Islands,1.4,0.128,78.7,-0.008
Yemen,4.5,0.38799999999999996,69.4,0.028999999999999998
Zambia,4.0,0.508,66.5,0.027999999999999997
Zimbabwe,3.7,0.44299999999999995,63.1,0.019
eSwatini,2.7,0.488,64.3,0.01
