Country,Population (millions),Country,Sex ratio (males to females),Country,Sex ratio (males to females),Country,Population aged 60+ years old (proportion),Country,Population density (per km2)
Dem. Rep. Congo,109.28,Dem. Rep. Congo,0.985,Dem. Rep. Congo,0.985,Dem. Rep. Congo,0.048,Dem. Rep. Congo,48.2
Denmark,5.98,Denmark,0.988,Denmark,0.988,Denmark,0.271,Denmark,141.0
Djibouti,1.17,Djibouti,0.983,Djibouti,0.983,Djibouti,0.076,Djibouti,50.4
Dominica,0.07,Dominica,1.0,Dominica,1.0,Dominica,0.18899999999999997,Dominica,88.3
Dominican Rep.,11.43,Dominican Rep.,0.9890000000000001,Dominican Rep.,0.9890000000000001,Dominican Rep.,0.11800000000000001,Dominican Rep.,236.5
Ecuador,18.14,Ecuador,0.9940000000000001,Ecuador,0.9940000000000001,Ecuador,0.12,Ecuador,73.0
Egypt,116.54,Egypt,1.02,Egypt,1.02,Egypt,0.08199999999999999,Egypt,117.1
El Salvador,6.34,El Salvador,0.905,El Salvador,0.905,El Salvador,0.11599999999999999,El Salvador,305.9
Eq. Guinea,1.89,Eq. Guinea,1.115,Eq. Guinea,1.115,Eq. Guinea,0.061,Eq. Guinea,67.5
Eritrea,3.54,Eritrea,0.975,Eritrea,0.975,Eritrea,0.064,Eritrea,29.2
Estonia,1.36,Estonia,0.9059999999999999,Estonia,0.9059999999999999,Estonia,0.27699999999999997,Estonia,31.3
eSwatini,1.24,eSwatini,0.965,eSwatini,0.965,eSwatini,0.064,eSwatini,71.6
Ethiopia,132.06,Ethiopia,1.004,Ethiopia,1.004,Ethiopia,0.051,Ethiopia,132.1
Falkland Is.,0.0,Falkland Is.,0.975,Falkland Is.,0.975,Falkland Is.,0.19399999999999998,Falkland Is.,0.3
Faroe Islands,0.06,Faroe Islands,1.069,Faroe Islands,1.069,Faroe Islands,0.23399999999999999,Faroe Islands,40.0
Fiji,0.93,Fiji,0.985,Fiji,0.985,Fiji,0.105,Fiji,50.8
Finland,5.62,Finland,0.977,Finland,0.977,Finland,0.304,Finland,18.6
France,66.55,France,0.941,France,0.941,France,0.284,France,120.7
French Guiana,0.31,French Guiana,0.9279999999999999,French Guiana,0.9279999999999999,French Guiana,0.10800000000000001,French Guiana,3.8
French Polynesia,0.28,French Polynesia,1.023,French Polynesia,1.023,French Polynesia,0.16699999999999998,French Polynesia,76.5
Gabon,2.54,Gabon,1.031,Gabon,1.031,Gabon,0.063,Gabon,9.9
Gambia,2.76,Gambia,0.992,Gambia,0.992,Gambia,0.052000000000000005,Gambia,272.7
Georgia,3.81,Georgia,0.873,Georgia,0.873,Georgia,0.22,Georgia,54.8
Germany,84.55,Germany,0.976,Germany,0.976,Germany,0.31,Germany,242.6
Ghana,34.43,Ghana,0.998,Ghana,0.998,Ghana,0.061,Ghana,151.3
Gibraltar,0.04,Gibraltar,0.991,Gibraltar,0.991,Gibraltar,0.23399999999999999,Gibraltar,3932.9
Greece,10.05,Greece,0.9390000000000001,Greece,0.9390000000000001,Greece,0.307,Greece,76.8
Greenland,0.06,Greenland,1.109,Greenland,1.109,Greenland,0.182,Greenland,0.1
Grenada,0.12,Grenada,1.005,Grenada,1.005,Grenada,0.17600000000000002,Grenada,344.7
Guadeloupe,0.38,Guadeloupe,0.825,Guadeloupe,0.825,Guadeloupe,0.32,Guadeloupe,230.4
