Country,Number of international migrants,Country,International migrants in proportion to population
Norway,852238,Norway,0.157
Oman,2372836,Oman,0.465
Pakistan,3276580,Pakistan,0.015
Palau,5088,Palau,0.281
Panama,313165,Panama,0.073
Papua New Guinea,31068,Papua New Guinea,0.003
Paraguay,169567,Paraguay,0.024
Peru,1224519,Peru,0.037000000000000005
Philippines,225525,Philippines,0.002
Poland,817254,Poland,0.022000000000000002
Portugal,1001963,Portugal,0.098
Puerto Rico,247132,Puerto Rico,0.086
Qatar,2226192,Qatar,0.773
South Korea,1728182,South Korea,0.034
Moldova,104438,Moldova,0.026000000000000002
Réunion,131769,Réunion,0.147
Romania,705310,Romania,0.037000000000000005
Russia,11636911,Russia,0.08
Rwanda,513907,Rwanda,0.04
Saint Helena,437,Saint Helena,0.07200000000000001
Saint Kitts and Nevis,7725,Saint Kitts and Nevis,0.145
Saint Lucia,8338,Saint Lucia,0.045
Saint Pierre and Miquelon,998,Saint Pierre and Miquelon,0.172
Saint Vincent & Grenadines,4738,Saint Vincent & Grenadines,0.043
Samoa,4021,Samoa,0.02
San Marino,5543,San Marino,0.163
Sao Tome and Principe,2139,Sao Tome and Principe,0.01
Saudi Arabia,13454842,Saudi Arabia,0.386
Senegal,274929,Senegal,0.016
Serbia,823011,Serbia,0.094
Seychelles,13050,Seychelles,0.133
Sierra Leone,53746,Sierra Leone,0.006999999999999999
Singapore,2523648,Singapore,0.431
Sint Maarten (Dutch part),28845,Sint Maarten (Dutch part),0.6729999999999999
Slovakia,197161,Slovakia,0.036000000000000004
Slovenia,277964,Slovenia,0.134
Solomon Islands,2520,Solomon Islands,0.004
Somalia,58590,Somalia,0.004
South Africa,2860495,South Africa,0.048
S. Sudan,882252,S. Sudan,0.079
Spain,6842202,Spain,0.146
Sri Lanka,40254,Sri Lanka,0.002
State of Palestine,272784,State of Palestine,0.053
Sudan,1379147,Sudan,0.031
Suriname,47801,Suriname,0.081
Sweden,2003908,Sweden,0.198
Switzerland,2491249,Switzerland,0.28800000000000003
Syria,868711,Syria,0.05
Tajikistan,276031,Tajikistan,0.028999999999999998
Thailand,3632496,Thailand,0.052000000000000005
Timor-Leste,8399,Timor-Leste,0.006
Togo,279936,Togo,0.034
Tokelau,1238,Tokelau,0.917
Tonga,3742,Tonga,0.035
Trinidad and Tobago,78849,Trinidad and Tobago,0.055999999999999994
Tunisia,60145,Tunisia,0.005
Turkey,6052652,Turkey,0.07200000000000001
Turkmenistan,194920,Turkmenistan,0.032
Turks and Caicos Islands,25748,Turks and Caicos Islands,0.665
Tuvalu,239,Tuvalu,0.02
Uganda,1720313,Uganda,0.038
Ukraine,4997387,Ukraine,0.114
United Arab Emirates,8716332,United Arab Emirates,0.8809999999999999
United Kingdom,9359587,United Kingdom,0.138
Tanzania,426017,Tanzania,0.006999999999999999
United States of America,50632836,United States of America,0.153
United States Virgin Islands,56753,United States Virgin Islands,0.5429999999999999
Uruguay,108267,Uruguay,0.031
Uzbekistan,1162007,Uzbekistan,0.035
Vanuatu,3257,Vanuatu,0.011000000000000001
Venezuela,1324193,Venezuela,0.047
Vietnam,76767,Vietnam,0.001
Wallis and Futuna Islands,2040,Wallis and Futuna Islands,0.18100000000000002
W. Sahara,5424,W. Sahara,0.009000000000000001
Yemen,387113,Yemen,0.013000000000000001
Zambia,187955,Zambia,0.01
Zimbabwe,416141,Zimbabwe,0.027999999999999997
